Method,Metric,Policy seeds,Mean,Median,Standard deviation,10th percentile,90th percentile,Minimum,Maximum
X-GAT-DRL (GRU),Sharpe ratio,5,1.0142983506703227,0.9843722729554393,0.14628577196540013,0.8936407481672608,1.1595395433992985,0.8457180007709442,1.2459444962695039
X-GAT-DRL (GRU),Sortino ratio,5,0.9358507632938927,0.9114670949071295,0.13662961919342675,0.821696823423656,1.0708956306227133,0.7763828427990358,1.151005984308143
X-GAT-DRL (GRU),Maximum drawdown,5,-0.1326235173551365,-0.1351360544304181,0.023184330165041834,-0.15068414297990565,-0.11041106552016416,-0.155566383052252,-0.09394659475756817
X-GAT-DRL (GRU),Daily CVaR 95%,5,-0.011460926202706485,-0.011687684846314291,0.0014659445940995463,-0.012664436203008955,-0.010056118077349963,-0.013215005262496617,-0.009153873804861693
X-GAT-DRL (GRU),Final wealth,5,1.7834776211677785,1.7760791498263517,0.031109881663869368,1.7540747306215274,1.8167299389152103,1.7516170599743348,1.819788375684275
X-GAT-DRL (GRU),Mean turnover,5,0.01766381536936193,0.01820917548803723,0.001174287161607962,0.01639289060313062,0.01867852131582742,0.016382471419590747,0.018754785457654622
X-GAT-DRL (GRU),Total transaction cost,5,0.04525400375754954,0.04648284458526811,0.002773277006598391,0.042259181099245965,0.047692016840044246,0.04220863368154325,0.047973007609948645
X-GAT-DRL (GRU),Mean HHI,5,0.15877050694834546,0.16099919873792332,0.01721447463458029,0.14130736338664115,0.17591564512154437,0.13890063554900556,0.18150773498431397
X-GAT-DRL (GRU),Mean cash weight,5,0.28496645813545074,0.28064101245009654,0.01654892814150169,0.2692747555554348,0.302641682026981,0.266010469829822,0.3051891616279427
X-GAT-DRL (LSTM),Annualised return,5,0.07987129838453186,0.0799923265058915,0.0044665715473408705,0.07582718138499778,0.08379687429266255,0.0734053077110699,0.08598663984369614
X-GAT-DRL (LSTM),Annualised volatility,5,0.08038978704368556,0.0835623645040842,0.006493692871973271,0.07332905856558784,0.08590374964930908,0.0732263010792045,0.08616459856659285
X-GAT-DRL (LSTM),Sharpe ratio,5,0.9591811934968693,0.9639772156221794,0.06916540590184052,0.8923950511091086,1.029348463712432,0.8873819394376112,1.0574781309457586
X-GAT-DRL (LSTM),Sortino ratio,5,0.8858966284985043,0.8929260605299624,0.06660001034115456,0.8227367850237832,0.952668889787708,0.8217698951629597,0.9821443149693793
X-GAT-DRL (LSTM),Maximum drawdown,5,-0.13985598324896004,-0.14129420865616182,0.014750678724002014,-0.15422781320644735,-0.12444970942127291,-0.1572816276388862,-0.12013457032243835
X-GAT-DRL (LSTM),Daily CVaR 95%,5,-0.01210487396510432,-0.01274359724599747,0.0009910205082537254,-0.012871794479874023,-0.010998702619657224,-0.012902609153701986,-0.01088833118490599
X-GAT-DRL (LSTM),Final wealth,5,1.7893233616736997,1.7902331399116236,0.05591696088020809,1.738971275075144,1.8387926442012326,1.709241267558953,1.866810991909183
X-GAT-DRL (LSTM),Mean turnover,5,0.01727571504901425,0.01754373665219888,0.000763556005140292,0.01654988335026653,0.01771060898899898,0.015921027071521706,0.017711757439061112
X-GAT-DRL (LSTM),Total transaction cost,5,0.04439248365087923,0.04515310266815251,0.0018563874082074775,0.0425691883266613,0.04549262528519065,0.04111722681501454,0.04557321007175801
X-GAT-DRL (LSTM),Mean HHI,5,0.1598351781770938,0.1575657236470331,0.009553234017745276,0.153400922701972,0.16898710035715173,0.1522696979905951,0.1764500828281516
X-GAT-DRL (LSTM),Mean cash weight,5,0.27806841363315526,0.27686455735833243,0.009122420832978423,0.2698226480533747,0.2875842353639591,0.2681963625441915,0.29188303292758966
